compound_id,filter_hit
DEC_3375,Michael_acceptor_1
DEC_2341,amino_acridine_A(46)
DEC_3376,imine_1
DEC_1779,mannich_A(296)
DEC_1769,alkyl_halide
DEC_2093,indol_3yl_alk(461)
DEC_2961,Aliphatic_long_chain
DEC_2258,iodine
DEC_3418,azo_A(324)
DEC_1858,thioester
DEC_2317,Aliphatic_long_chain
DEC_3004,nitro_group
DEC_2943,triple_bond
DEC_2433,imine_1
DEC_1932,heavy_metal
DEC_2404,aniline
DEC_1908,Three-membered_heterocycle
DEC_1654,alkyl_halide
DEC_1726,acyclic_C=C-O
DEC_2043,amino_acridine_A(46)
DEC_3286,peroxide
DEC_3232,iodine
DEC_2989,mannich_A(296)
DEC_1955,quinone_A(370)
DEC_1628,catechol_A(92)
DEC_3250,nitro_group
DEC_1951,nitro_group
DEC_3228,het_6666_A(2)
DEC_1623,iodine
DEC_2344,phenol_ester
DEC_3209,cumarine
DEC_2100,phosphor
DEC_3180,aldehyde
DEC_2370,isolated_alkene
DEC_3379,diketo_group
DEC_2041,Aliphatic_long_chain
DEC_2119,Aliphatic_long_chain
DEC_1731,aldehyde
DEC_3076,Aliphatic_long_chain
DEC_2275,alkyl_halide
DEC_2128,nitro_group
DEC_2400,Aliphatic_long_chain
DEC_2971,thiol_2
DEC_3358,Aliphatic_long_chain
DEC_1961,Aliphatic_long_chain
DEC_2143,Aliphatic_long_chain
DEC_2427,amino_acridine_A(46)
DEC_2391,Aliphatic_long_chain
DEC_1675,triple_bond
DEC_2232,quinone_A(370)
DEC_3029,hydroxamic_acid
DEC_3085,Aliphatic_long_chain
DEC_3000,>_2_ester_groups
DEC_3446,amino_acridine_A(46)
DEC_1754,Aliphatic_long_chain
DEC_2285,charged_oxygen_or_sulfur_atoms
DEC_3319,Oxygen-nitrogen_single_bond
DEC_2947,imine_1
DEC_3283,imine_1
DEC_3242,triple_bond
DEC_2108,Aliphatic_long_chain
DEC_2030,anil_di_alk_C(246)
DEC_3181,acyclic_C=C-O
DEC_3040,Aliphatic_long_chain
DEC_3348,thioester
DEC_2019,Thiocarbonyl_group
DEC_2350,mannich_A(296)
DEC_2423,hydroxamic_acid
DEC_2986,imine_1
DEC_2923,imine_1
DEC_2133,Aliphatic_long_chain
DEC_1882,isolated_alkene
DEC_3266,Aliphatic_long_chain
DEC_1648,aniline
DEC_2981,imine_1
DEC_3281,Aliphatic_long_chain
DEC_1812,hydroxamic_acid
DEC_2105,imine_1
DEC_2429,2-halo_pyridine
DEC_2410,triple_bond
DEC_3217,imine_1
DEC_1900,quinone_A(370)
DEC_2016,Thiocarbonyl_group
DEC_3245,charged_oxygen_or_sulfur_atoms
DEC_2193,alkyl_halide
DEC_1778,thiol_2
DEC_1962,nitro_group
DEC_1814,hydroxamic_acid
DEC_3298,isolated_alkene
DEC_2211,cyanate_/aminonitrile_/thiocyanate
DEC_2264,charged_oxygen_or_sulfur_atoms
DEC_1671,triple_bond
DEC_3292,Aliphatic_long_chain
DEC_2930,imine_1
DEC_1713,imine_1
DEC_3346,thioester
DEC_1881,beta-keto/anhydride
DEC_2231,nitro_group
DEC_2277,iodine
DEC_1848,Aliphatic_long_chain
DEC_2956,Aliphatic_long_chain
DEC_3028,amino_acridine_A(46)
DEC_1817,aniline
DEC_3369,quinone_A(370)
DEC_3098,Aliphatic_long_chain
DEC_3447,hydroxamic_acid
DEC_1751,aldehyde
DEC_3301,charged_oxygen_or_sulfur_atoms
DEC_3257,iodine
DEC_2192,aniline
DEC_2130,thiazol_SC_A(3)
DEC_3152,isolated_alkene
DEC_2987,heavy_metal
DEC_2080,hydantoin
DEC_3241,thioester
DEC_3064,Aliphatic_long_chain
DEC_2316,Aliphatic_long_chain
DEC_1963,iodine
DEC_3355,amino_acridine_A(46)
DEC_3263,Aliphatic_long_chain
DEC_1839,phthalimide
DEC_1699,aniline
DEC_1867,isolated_alkene
DEC_3411,imine_1
DEC_2418,hydroxamic_acid
DEC_1805,imine_1
DEC_1782,Michael_acceptor_1
ACT_002,Aliphatic_long_chain
DEC_2184,Aliphatic_long_chain
DEC_2044,Aliphatic_long_chain
DEC_2212,nitro_group
DEC_3138,Aliphatic_long_chain
DEC_2018,Michael_acceptor_4
DEC_2326,iodine
DEC_1893,2-halo_pyridine
DEC_3435,mannich_A(296)
DEC_2337,Aliphatic_long_chain
DEC_1644,nitro_group
DEC_3007,Michael_acceptor_1
DEC_2354,isolated_alkene
DEC_1667,isolated_alkene
DEC_2151,peroxide
DEC_2174,nitro_group
DEC_1655,thiaz_ene_A(128)
DEC_3430,hydroxamic_acid
DEC_2228,azo_A(324)
DEC_2309,Aliphatic_long_chain
DEC_1976,Aliphatic_long_chain
DEC_2335,Aliphatic_long_chain
DEC_1920,steroid_A(2)
DEC_3442,imine_1
DEC_3205,Aliphatic_long_chain
DEC_1873,phthalimide
DEC_1896,nitro_group
DEC_3022,N_oxide
DEC_1897,2-halo_pyridine
DEC_3306,imine_1
DEC_3141,charged_oxygen_or_sulfur_atoms
DEC_2386,Aliphatic_long_chain
DEC_3071,aniline
DEC_1831,Aliphatic_long_chain
DEC_2329,Aliphatic_long_chain
DEC_1770,alkyl_halide
DEC_1630,Michael_acceptor_1
DEC_3323,aniline
DEC_1887,2-halo_pyridine
DEC_2938,hydroquinone
DEC_2383,Michael_acceptor_1
DEC_2310,Aliphatic_long_chain
DEC_1993,thioester
DEC_1757,aldehyde
DEC_1672,beta-keto/anhydride
DEC_1996,imine_1
DEC_2260,isolated_alkene
DEC_1847,Aliphatic_long_chain
DEC_3055,aldehyde
DEC_2367,Aliphatic_long_chain
DEC_2194,nitro_group
DEC_3316,halogenated_ring_1
DEC_3322,thioester
DEC_2324,Polycyclic_aromatic_hydrocarbon_2
DEC_1681,imine_1
DEC_1755,aldehyde
DEC_2381,Sulfonic_acid_2
DEC_1800,imine_1
DEC_2315,Aliphatic_long_chain
DEC_2288,iodine
DEC_3321,thioester
DEC_2239,nitro_group
DEC_3212,cumarine
DEC_1756,aldehyde
DEC_2320,Aliphatic_long_chain
DEC_3008,Michael_acceptor_1
DEC_1922,Michael_acceptor_1
DEC_3388,aldehyde
DEC_3079,Aliphatic_long_chain
DEC_3160,Aliphatic_long_chain
DEC_2250,thiol_2
DEC_2124,conjugated_nitrile_group
DEC_2428,2-halo_pyridine
DEC_1875,phthalimide
DEC_2034,Aliphatic_long_chain
DEC_3155,quinone_A(370)
DEC_1857,isolated_alkene
DEC_1968,aniline
DEC_1790,nitro_group
DEC_1624,acyclic_C=C-O
DEC_3021,nitro_group
DEC_2357,imine_1
DEC_2035,Aliphatic_long_chain
DEC_2050,iodine
DEC_2976,Aliphatic_long_chain
DEC_3202,Aliphatic_long_chain
DEC_3249,acyclic_C=C-O
DEC_2118,Thiocarbonyl_group
DEC_2039,Polycyclic_aromatic_hydrocarbon_2
DEC_2362,Aliphatic_long_chain
DEC_1816,hydroxamic_acid
DEC_3104,phosphor
DEC_3039,hydrazine
DEC_3113,alkyl_halide
DEC_3049,phthalimide
DEC_2104,Aliphatic_long_chain
DEC_1965,imine_1
DEC_3401,aldehyde
DEC_1883,2-halo_pyridine
DEC_1872,phthalimide
DEC_2378,Michael_acceptor_1
DEC_3219,cumarine
DEC_3178,Perfluorinated_chain
DEC_3277,Aliphatic_long_chain
DEC_2935,triple_bond
DEC_3259,aldehyde
DEC_1895,iodine
DEC_3012,diketo_group
DEC_1632,indol_3yl_alk(461)
DEC_3416,heavy_metal
DEC_3271,Oxygen-nitrogen_single_bond
DEC_3210,cumarine
DEC_3081,indol_3yl_alk(461)
DEC_2106,phosphor
DEC_2115,conjugated_nitrile_group
DEC_2199,Aliphatic_long_chain
DEC_3090,hydantoin
DEC_2103,isolated_alkene
DEC_1768,aldehyde
DEC_3073,aniline
DEC_1901,iodine
DEC_1788,acyclic_C=C-O
DEC_2321,Aliphatic_long_chain
DEC_3164,aldehyde
DEC_2223,phthalimide
DEC_2001,phosphor
DEC_2215,azo_A(324)
DEC_2301,beta-keto/anhydride
DEC_2300,Aliphatic_long_chain
DEC_3381,heavy_metal
DEC_2204,azo_A(324)
DEC_2253,alkyl_halide
DEC_2049,Aliphatic_long_chain
DEC_1650,acyclic_C=C-O
DEC_3382,Aliphatic_long_chain
DEC_1618,iodine
DEC_1787,Three-membered_heterocycle
DEC_2079,Michael_acceptor_1
DEC_2405,aniline
DEC_2101,isolated_alkene
DEC_2109,Aliphatic_long_chain
DEC_1834,indol_3yl_alk(461)
DEC_1794,Michael_acceptor_1
DEC_2413,Michael_acceptor_1
DEC_2929,Michael_acceptor_1
DEC_2064,hydantoin
DEC_2351,Aliphatic_long_chain
DEC_3332,thioester
DEC_1859,thioester
DEC_2240,quinone_A(370)
DEC_3267,Aliphatic_long_chain
DEC_1807,iodine
DEC_3103,hydroxamic_acid
DEC_3360,Aliphatic_long_chain
DEC_1780,Three-membered_heterocycle
DEC_2376,Michael_acceptor_1
DEC_1762,aldehyde
DEC_3158,Aliphatic_long_chain
DEC_2155,anil_di_alk_B(251)
DEC_3221,ene_five_het_B(90)
DEC_1863,Thiocarbonyl_group
DEC_3069,aniline
DEC_3293,imine_1
DEC_1866,phthalimide
DEC_3260,triple_bond
DEC_1616,stilbene
DEC_3167,Aliphatic_long_chain
DEC_1868,iodine
DEC_3294,heavy_metal
DEC_2266,alkyl_halide
DEC_2270,cumarine
DEC_1844,Aliphatic_long_chain
DEC_2291,imine_1
DEC_2972,hydroxamic_acid
DEC_1846,aniline
DEC_1988,thioester
DEC_1978,Polycyclic_aromatic_hydrocarbon_2
DEC_2028,Aliphatic_long_chain
DEC_1841,hydroxamic_acid
DEC_3119,triple_bond
DEC_0428,beta-keto/anhydride
DEC_2403,alkyl_halide
DEC_1745,anil_di_alk_E(186)
DEC_1966,imine_1
DEC_2202,nitro_group
DEC_2236,quinone_A(370)
DEC_1666,Aliphatic_long_chain
DEC_2348,phenol_ester
DEC_1928,indol_3yl_alk(461)
DEC_2290,iodine
DEC_3353,aniline
DEC_2009,imine_1
DEC_1941,Aliphatic_long_chain
DEC_2267,Perfluorinated_chain
DEC_1613,aniline
DEC_3258,aldehyde
DEC_1811,Aliphatic_long_chain
DEC_2010,nitro_group
DEC_1803,Aliphatic_long_chain
DEC_1701,Aliphatic_long_chain
DEC_1940,nitro_group
DEC_2263,charged_oxygen_or_sulfur_atoms
DEC_3189,aldehyde
DEC_3042,imine_1
DEC_3364,imine_1
DEC_1959,nitro_group
DEC_2996,imine_1
DEC_3096,aniline
DEC_2308,Aliphatic_long_chain
DEC_3343,imine_1
DEC_1809,Michael_acceptor_1
DEC_3215,cumarine
DEC_1815,Aliphatic_long_chain
DEC_3282,Aliphatic_long_chain
DEC_2153,thiol_2
DEC_3061,Michael_acceptor_1
DEC_3036,Aliphatic_long_chain
DEC_2224,phthalimide
DEC_2650,aldehyde
DEC_1732,phthalimide
DEC_3423,2-halo_pyridine
DEC_3097,thiol_2
DEC_3170,Aliphatic_long_chain
DEC_2027,Aliphatic_long_chain
DEC_3437,amino_acridine_A(46)
DEC_1690,alkyl_halide
DEC_2012,N_oxide
DEC_2984,hydantoin
DEC_1861,isolated_alkene
DEC_1804,Aliphatic_long_chain
DEC_3264,Aliphatic_long_chain
DEC_2170,nitro_group
DEC_2045,amino_acridine_A(46)
DEC_2419,heavy_metal
DEC_2011,N_oxide
DEC_1948,indol_3yl_alk(461)
DEC_2062,Aliphatic_long_chain
DEC_3100,Michael_acceptor_1
DEC_1738,aniline
DEC_3054,Michael_acceptor_1
DEC_3214,cumarine
DEC_1957,Sulfonic_acid_2
DEC_3108,azo_A(324)
DEC_1748,aniline
DEC_3238,iodine
DEC_2014,Aliphatic_long_chain
DEC_1615,catechol_A(92)
DEC_3110,alkyl_halide
DEC_1720,phthalimide
DEC_3295,Aliphatic_long_chain
DEC_3211,cumarine
DEC_2965,Aliphatic_long_chain
DEC_1892,2-halo_pyridine
DEC_1983,Aliphatic_long_chain
DEC_2057,nitro_group
DEC_3254,triple_bond
DEC_3438,triple_bond
DEC_3384,Aliphatic_long_chain
DEC_2338,imine_1
DEC_2287,thioester
DEC_2369,hydroxamic_acid
DEC_3284,Aliphatic_long_chain
DEC_2186,Aliphatic_long_chain
DEC_2042,azo_A(324)
DEC_1746,aniline
DEC_1954,beta-keto/anhydride
DEC_2278,iodine
DEC_1792,nitro_group
DEC_1702,Aliphatic_long_chain
DEC_1739,aniline
DEC_2210,imine_1
DEC_3218,cumarine
DEC_1801,Sulfonic_acid_2
DEC_3010,beta-keto/anhydride
DEC_0527,beta-keto/anhydride
DEC_2368,Aliphatic_long_chain
DEC_3436,Michael_acceptor_1
DEC_3080,alkyl_halide
DEC_1989,phthalimide
DEC_1991,phosphor
DEC_3092,nitro_group
DEC_2313,Aliphatic_long_chain
DEC_1689,amino_acridine_A(46)
DEC_1785,phthalimide
DEC_2249,nitro_group
DEC_1659,mannich_A(296)
DEC_2259,anil_no_alk(40)
DEC_1687,hydantoin
DEC_2940,diketo_group
DEC_2189,isolated_alkene
DEC_1950,isolated_alkene
DEC_2355,Michael_acceptor_1
DEC_2059,iodine
DEC_2330,Aliphatic_long_chain
DEC_1661,thiaz_ene_A(128)
DEC_1999,charged_oxygen_or_sulfur_atoms
DEC_2431,imine_1
DEC_2991,imine_1
DEC_3082,alkyl_halide
DEC_3023,triple_bond
DEC_2395,diketo_group
DEC_2181,Aliphatic_long_chain
DEC_2414,diketo_group
DEC_1658,alkyl_halide
DEC_3207,Aliphatic_long_chain
DEC_2252,triple_bond
DEC_1406,imine_1
DEC_3308,Sulfonic_acid_2
DEC_1876,indol_3yl_alk(461)
DEC_2268,acyclic_C=C-O
DEC_3305,imine_1
DEC_2201,nitro_group
DEC_2303,Aliphatic_long_chain
DEC_3429,2-halo_pyridine
DEC_3226,ene_five_het_B(90)
DEC_2927,catechol
DEC_1669,imine_1
DEC_0526,beta-keto/anhydride
DEC_1649,imine_1
DEC_1758,aldehyde
DEC_1750,aldehyde
DEC_1662,Michael_acceptor_1
DEC_3149,isolated_alkene
DEC_1663,heavy_metal
DEC_2380,phthalimide
DEC_1909,Three-membered_heterocycle
DEC_3109,anil_di_alk_D(198)
DEC_1964,Aliphatic_long_chain
DEC_1752,aldehyde
DEC_2003,het-C-het_not_in_ring
DEC_3087,Aliphatic_long_chain
DEC_1851,alkyl_halide
DEC_2955,Aliphatic_long_chain
DEC_2939,diketo_group
DEC_2312,Aliphatic_long_chain
DEC_3130,Aliphatic_long_chain
DEC_3171,phosphor
DEC_3417,N_oxide
DEC_3072,Aliphatic_long_chain
DEC_2171,thiaz_ene_A(128)
DEC_3035,mannich_A(296)
DEC_2213,beta-keto/anhydride
DEC_3124,nitro_group
DEC_3374,Aliphatic_long_chain
DEC_1905,Aliphatic_long_chain
DEC_3315,stilbene
DEC_2941,acyl_hydrazine
DEC_2944,Sulfonic_acid_2
DEC_1759,aldehyde
DEC_2102,isolated_alkene
DEC_2200,nitro_group
DEC_2438,Thiocarbonyl_group
DEC_0003,beta-keto/anhydride
DEC_2295,amino_acridine_A(46)
DEC_2098,Aliphatic_long_chain
DEC_3424,2-halo_pyridine
DEC_1819,aniline
DEC_3302,Aliphatic_long_chain
DEC_1956,nitro_group
DEC_2110,Aliphatic_long_chain
DEC_2962,imine_1
DEC_2274,iodine
DEC_2995,Michael_acceptor_1
DEC_3185,Aliphatic_long_chain
DEC_3173,triple_bond
DEC_2384,nitro_group
DEC_3088,Aliphatic_long_chain
DEC_3300,imine_1
DEC_2255,anil_no_alk(40)
DEC_2307,isolated_alkene
DEC_2139,Aliphatic_long_chain
DEC_2439,triple_bond
DEC_3147,charged_oxygen_or_sulfur_atoms
DEC_1665,imine_1
DEC_3015,triple_bond
DEC_2430,2-halo_pyridine
DEC_2117,Aliphatic_long_chain
DEC_3011,Aliphatic_long_chain
DEC_3389,imine_1
DEC_3102,hydroxamic_acid
DEC_1772,alkyl_halide
DEC_1704,Aliphatic_long_chain
DEC_3362,Aliphatic_long_chain
DEC_1929,Michael_acceptor_1
DEC_3262,alkyl_halide
DEC_3224,triple_bond
DEC_2243,cumarine
DEC_1766,aldehyde
DEC_2107,Aliphatic_long_chain
DEC_1730,imine_1
DEC_2276,triple_bond
DEC_3331,nitro_group
DEC_3261,Aliphatic_long_chain
DEC_1980,phthalimide
DEC_3400,heavy_metal
DEC_2957,Aliphatic_long_chain
DEC_1982,Aliphatic_long_chain
DEC_2356,diketo_group
DEC_2158,Michael_acceptor_1
DEC_1771,alkyl_halide
DEC_1835,Aliphatic_long_chain
DEC_1877,thioester
DEC_1985,Aliphatic_long_chain
DEC_3347,thioester
DEC_2157,thiol_2
DEC_1886,phthalimide
DEC_1695,phthalimide
DEC_2999,mannich_A(296)
DEC_3279,N_oxide
DEC_2008,Aliphatic_long_chain
DEC_3443,Michael_acceptor_1
DEC_3065,thiol_2
DEC_1763,aldehyde
DEC_3233,nitro_group
DEC_1915,diketo_group
DEC_1712,catechol_A(92)
DEC_2026,amino_acridine_A(46)
DEC_3265,Aliphatic_long_chain
DEC_3033,N_oxide
DEC_3325,Aliphatic_long_chain
DEC_3440,thiaz_ene_A(128)
DEC_2131,quinone_A(370)
DEC_2392,diketo_group
DEC_2265,iodine
DEC_1813,Aliphatic_long_chain
DEC_2217,cumarine
DEC_1797,Three-membered_heterocycle
DEC_1865,phthalimide
DEC_2402,Aliphatic_long_chain
DEC_3413,N_oxide
DEC_2336,Aliphatic_long_chain
DEC_1749,catechol_A(92)
DEC_1934,indol_3yl_alk(461)
DEC_2294,amino_acridine_A(46)
DEC_2377,Michael_acceptor_1
DEC_1764,aldehyde
DEC_2219,aniline
DEC_2412,Three-membered_heterocycle
DEC_2120,phosphor
DEC_2409,Aliphatic_long_chain
DEC_1894,thioester
DEC_1716,imine_1
DEC_2311,Aliphatic_long_chain
DEC_1878,thioester
DEC_2164,alkyl_halide
DEC_2191,Aliphatic_long_chain
DEC_1898,indol_3yl_alk(461)
DEC_1912,charged_oxygen_or_sulfur_atoms
DEC_2113,phosphor
DEC_2936,hydroxamic_acid
DEC_1890,anil_di_alk_C(246)
DEC_3150,isolated_alkene
DEC_2975,Aliphatic_long_chain
DEC_2000,het-C-het_not_in_ring
DEC_1855,phthalimide
DEC_2767,heavy_metal
DEC_1634,keto_keto_beta_A(68)
DEC_3213,cumarine
DEC_3086,Aliphatic_long_chain
DEC_2136,phthalimide
DEC_1698,quinone_A(370)
DEC_1707,stilbene
DEC_3333,thioester
DEC_3095,aniline
DEC_3017,Aliphatic_long_chain
DEC_3091,imine_1
DEC_3307,imine_1
DEC_3299,amino_acridine_A(46)
DEC_1653,alkyl_halide
DEC_3038,N_oxide
DEC_1795,triple_bond
DEC_2150,anil_di_alk_A(478)
DEC_1860,alkyl_halide
DEC_2172,cyanate_/aminonitrile_/thiocyanate
DEC_3396,triple_bond
DEC_1942,Aliphatic_long_chain
DEC_1693,triple_bond
DEC_3383,Aliphatic_long_chain
DEC_1899,triple_bond
DEC_3174,Aliphatic_long_chain
DEC_3046,acyclic_C=C-O
DEC_0279,Aliphatic_long_chain
DEC_1825,Aliphatic_long_chain
DEC_1651,imine_1
DEC_3422,2-halo_pyridine
DEC_2251,thiol_2
DEC_2390,conjugated_nitrile_group
DEC_3227,charged_oxygen_or_sulfur_atoms
DEC_3006,isolated_alkene
DEC_3345,Aliphatic_long_chain
DEC_3246,phenol_ester
DEC_2434,Aliphatic_long_chain
DEC_3434,2-halo_pyridine
DEC_1987,thioester
DEC_3056,Aliphatic_long_chain
DEC_2040,Aliphatic_long_chain
DEC_3165,Michael_acceptor_1
DEC_1765,aldehyde
DEC_3034,nitro_group
DEC_1933,disulphide
DEC_3278,Aliphatic_long_chain
DEC_1840,imine_1
DEC_1621,imine_1
DEC_3421,anil_di_alk_C(246)
DEC_2925,imine_1
DEC_3404,phthalimide
DEC_2046,Aliphatic_long_chain
DEC_2167,Aliphatic_long_chain
DEC_1958,iodine
DEC_2063,cyanate_/aminonitrile_/thiocyanate
DEC_2209,cumarine
DEC_2132,Aliphatic_long_chain
DEC_2353,nitro_group
DEC_2379,Aliphatic_long_chain
DEC_2928,imine_1
DEC_1902,quaternary_nitrogen_1
DEC_2358,Aliphatic_long_chain
DEC_1856,iodine
DEC_1917,isolated_alkene
DEC_3208,ene_five_het_B(90)
DEC_1827,imine_1
DEC_2331,iodine
DEC_2237,quinone_A(370)
DEC_2073,Michael_acceptor_1
DEC_3005,nitro_group
DEC_0381,Aliphatic_long_chain
DEC_3186,Aliphatic_long_chain
DEC_1652,imine_1
DEC_1837,hydroxamic_acid
DEC_1947,nitro_group
DEC_3268,N_oxide
DEC_3370,imine_1
DEC_3235,hydantoin
DEC_1891,anil_di_alk_C(246)
DEC_1656,isolated_alkene
DEC_2182,Aliphatic_long_chain
DEC_1850,isolated_alkene
DEC_1705,Aliphatic_long_chain
DEC_1931,iodine
DEC_2960,imine_1
DEC_3367,anthranil_one_A(38)
DEC_1874,phthalimide
DEC_1862,thioester
DEC_2964,anil_di_alk_C(246)
DEC_2305,Aliphatic_long_chain
DEC_3027,triple_bond
DEC_3359,Aliphatic_long_chain
DEC_1697,aniline
DEC_1921,Aliphatic_long_chain
DEC_2070,Aliphatic_long_chain
DEC_3142,iodine
DEC_1642,catechol_A(92)
DEC_3009,Michael_acceptor_1
DEC_1906,iodine
DEC_1617,thiol_2
DEC_2178,Aliphatic_long_chain
DEC_3014,triple_bond
DEC_1808,Aliphatic_long_chain
DEC_2271,charged_oxygen_or_sulfur_atoms
DEC_1767,aldehyde
DEC_2302,Aliphatic_long_chain
DEC_3001,>_2_ester_groups
DEC_2067,indol_3yl_alk(461)
DEC_3013,triple_bond
DEC_1664,Polycyclic_aromatic_hydrocarbon_2
DEC_2177,nitro_group
DEC_3363,Aliphatic_long_chain
DEC_1706,Aliphatic_long_chain
DEC_1806,aniline
DEC_1729,Aliphatic_long_chain
DEC_1907,dyes5A(27)
DEC_2154,Aliphatic_long_chain
